    FCST_HR      20/00Z     21/00Z     22/00Z        mean
0       0.0   18.245835  27.298104  36.082836   27.208925
1       6.0   41.485906  27.483655  24.279730   31.083097
2      12.0   63.460956  37.329472  15.159938   38.650122
3      18.0   40.725267  62.697580        NaN   51.711423
4      24.0   80.388567  63.187088        NaN   71.787827
5      30.0   92.402462  61.317066        NaN   76.859764
6      36.0   77.453958  72.645835        NaN   75.049896
7      42.0   85.911789        NaN        NaN   85.911789
8      48.0  102.037094        NaN        NaN  102.037094
9      54.0  124.262602        NaN        NaN  124.262602
10     60.0  151.036925        NaN        NaN  151.036925
