    FCST_HR      16/00Z     17/00Z     18/00Z     19/00Z     20/00Z        mean
0       0.0   34.556327  12.446491  37.422161  30.760229  33.229927   29.683027
1       6.0   26.414383   7.862654  20.622907  11.636651        NaN   16.634149
2      12.0   48.250446  25.198493  11.133471  29.996983        NaN   28.644848
3      18.0   65.688929  43.170417  30.774324  37.259265        NaN   44.223234
4      24.0   50.154794  57.376071  49.207043  66.995664        NaN   55.933393
5      30.0   45.383802  49.308417  66.793280        NaN        NaN   53.828500
6      36.0   45.744370  54.173667  74.210084        NaN        NaN   58.042707
7      42.0   49.061720  39.599435  42.296388        NaN        NaN   43.652514
8      48.0   78.458575  13.968347        NaN        NaN        NaN   46.213461
9      54.0   83.163218  11.636651        NaN        NaN        NaN   47.399934
10     60.0   75.810997  32.151151        NaN        NaN        NaN   53.981074
11     66.0   73.575615  23.370717        NaN        NaN        NaN   48.473166
12     72.0   81.799046  66.995664        NaN        NaN        NaN   74.397355
13     78.0   63.353977        NaN        NaN        NaN        NaN   63.353977
14     84.0   61.463891        NaN        NaN        NaN        NaN   61.463891
15     90.0  102.262145        NaN        NaN        NaN        NaN  102.262145
