    FCST_HR      05/00Z      06/00Z     07/00Z     08/00Z      09/00Z     10/00Z        mean
0       0.0   14.999688   18.013578  15.226086  23.457896   16.330086  12.093520   16.686809
1       6.0   14.093367   40.298168  35.111537   3.002263   21.706224   6.046591   20.043025
2      12.0   21.079654   39.453582  24.763372   3.087115   48.740597  21.835762   26.493347
3      18.0   33.155390   51.622576  34.589475   3.086625  104.092289   5.797389   38.723957
4      24.0   48.911405   44.771056  61.822603  30.704204   96.251351  47.267085   54.954617
5      30.0   54.430353   33.403374  74.239637  29.620973   90.690065        NaN   56.476880
6      36.0   70.525771   10.323962  55.969053  33.400664   73.724989        NaN   48.788888
7      42.0   60.337897   34.589475  63.761822  11.055211   58.173849        NaN   45.583651
8      48.0   79.640025   61.822603  96.196721  12.093520   77.790304        NaN   65.508635
9      54.0   68.646754   74.239637  78.068381  20.598562         NaN        NaN   60.388333
10     60.0   92.648447   55.969053  63.245718  24.112616         NaN        NaN   58.993959
11     66.0   93.709616  139.360868  25.754114  33.396319         NaN        NaN   73.055229
12     72.0   78.228617  145.537818  12.093520  55.617268         NaN        NaN   72.869306
13    120.0  136.737350  170.784442   9.034927        NaN         NaN        NaN  105.518906
14    126.0  134.312611  178.814727  21.835762        NaN         NaN        NaN  111.654367
15    132.0  170.711390  228.572875  40.495507        NaN         NaN        NaN  146.593257
16    138.0  171.100157         NaN  77.790304        NaN         NaN        NaN  124.445230
17    144.0  201.922807         NaN        NaN        NaN         NaN        NaN  201.922807
