    FCST_HR      19/00Z     20/00Z     21/00Z     22/00Z        mean
0       0.0   19.501718  13.262388  15.369562   8.095248   14.057229
1       6.0   20.186102  17.936133  17.448333  17.984164   18.388683
2      12.0    9.716369  22.142017  29.683110        NaN   20.513832
3      18.0   13.910692  15.446666  54.042259        NaN   27.799872
4      24.0   31.893888  15.446666        NaN        NaN   23.670277
5      30.0   13.667347  47.325308        NaN        NaN   30.496327
6      36.0   22.142017  49.729869        NaN        NaN   35.935943
7      42.0   27.253500  42.499990        NaN        NaN   34.876745
8      42.0   27.253500  63.729257        NaN        NaN   45.491378
9      60.0   62.148732        NaN        NaN        NaN   62.148732
10     66.0   83.555534        NaN        NaN        NaN   83.555534
11     72.0   88.745822        NaN        NaN        NaN   88.745822
12     78.0  108.672988        NaN        NaN        NaN  108.672988
