    FCST_HR     05/00Z     06/00Z     07/00Z     08/00Z
0       0.0  30.196913  18.672398  11.287583  10.490175
1       6.0   7.762544  27.653304   2.040731  15.612939
2      12.0  28.108016  32.757229   9.572460        NaN
3      18.0  41.509831  38.617345   6.154116        NaN
4      24.0  23.576692  51.591250  15.653260        NaN
5      30.0  27.653304  45.080439  32.080113        NaN
6      36.0  13.077962  40.173106        NaN        NaN
7      42.0   7.279624   6.154116        NaN        NaN
8      48.0  27.294482  10.490175        NaN        NaN
9      54.0  31.971424  15.612939        NaN        NaN
10     60.0  33.746603        NaN        NaN        NaN
11     66.0  40.249368        NaN        NaN        NaN
12     72.0  45.134764        NaN        NaN        NaN
13     78.0  43.289752        NaN        NaN        NaN
