    FCST_HR      24/00Z      25/00Z      26/00Z     27/00Z     28/00Z        mean
0       0.0   21.978461   18.440809   41.455273   8.282683  11.309230   20.293291
1       6.0   27.030139    9.995867   15.637726   8.886637   5.621753   13.434424
2      12.0   22.235845   24.677034   23.649009  26.341198        NaN   24.225772
3      18.0   23.614921   18.309686   46.029352  44.627228        NaN   33.145297
4      24.0   19.820262   24.114742   46.475783  62.953030        NaN   38.340954
5      30.0   11.811092   28.819426   60.714123  90.693082        NaN   48.009431
6      36.0   24.677034   48.159484   77.867875        NaN        NaN   50.234798
7      42.0   21.699017   48.795402   94.893461        NaN        NaN   55.129293
8      48.0   42.116079   54.303346  112.138023        NaN        NaN   69.519150
9      54.0   42.764059   54.448220  117.452844        NaN        NaN   71.555041
10     60.0   27.614014   60.604827         NaN        NaN        NaN   44.109420
11     66.0   27.931577  110.817630         NaN        NaN        NaN   69.374604
12     72.0   41.605096  143.905921         NaN        NaN        NaN   92.755508
13     78.0   54.448220  165.596811         NaN        NaN        NaN  110.022516
14     84.0   63.914910         NaN         NaN        NaN        NaN   63.914910
15     90.0   94.893461         NaN         NaN        NaN        NaN   94.893461
16     96.0  126.846306         NaN         NaN        NaN        NaN  126.846306
17    102.0  150.761281         NaN         NaN        NaN        NaN  150.761281
