    FCST_HR      23/00Z      24/00Z      25/00Z      26/00Z        mean
0       0.0   18.390592   19.465196   25.035909   19.409201   20.575224
1       6.0   51.043636    6.173832    8.794974    8.764951   18.694348
2      12.0   36.056240   33.584916   25.760624   40.805250   34.051758
3      18.0   28.373886   80.365780   35.997156   56.674004   50.352706
4      24.0   28.143204   84.070799   64.806604  112.053894   72.268625
5      30.0   18.819296   71.788697   37.688257  152.016518   70.078192
6      36.0   21.265823   64.346706   40.805250  224.282795   87.675144
7      42.0   76.093230   55.719996   56.232307         NaN   62.681844
8      48.0   78.764123   81.772825  101.045575         NaN   87.194174
9      54.0   84.651426   67.941186  152.016518         NaN  101.536377
10     60.0   83.898763   80.902599  205.214787         NaN  123.338716
11     66.0   75.110941  109.155539         NaN         NaN   92.133240
12     72.0   78.029171  155.142067         NaN         NaN  116.585619
13     78.0   69.334101  206.341868         NaN         NaN  137.837984
14     84.0   54.501360  260.079899         NaN         NaN  157.290630
15     90.0   68.290569         NaN         NaN         NaN   68.290569
16     96.0  112.053894         NaN         NaN         NaN  112.053894
17    102.0  168.228038         NaN         NaN         NaN  168.228038
18    108.0  231.247909         NaN         NaN         NaN  231.247909
