    FCST_HR      10/00Z     11/00Z      12/00Z     13/00Z
0       0.0   39.145751  40.030400   22.926967   5.361594
1       6.0   13.882177  18.956270   15.553957  10.314114
2      12.0   46.769403  17.168917    9.100732  41.672259
3      18.0   63.324709  27.308922   11.361641  63.415503
4      24.0  118.583543  22.897264   20.527903  67.367684
5      30.0  116.830357  13.698293   52.560872  76.407672
6      36.0  134.145557  40.128237   80.758402        NaN
7      42.0  153.817591  65.581375  102.238353        NaN
8      48.0  145.034999  27.452410  129.630372        NaN
9      54.0  138.022960  12.265328  152.541639        NaN
10     60.0  148.913833  31.959695         NaN        NaN
11     66.0  176.446282  33.467204         NaN        NaN
12     72.0  169.645066  67.367684         NaN        NaN
13     78.0  149.709581  97.284280         NaN        NaN
14     84.0  134.109288        NaN         NaN        NaN
15     90.0  117.828760        NaN         NaN        NaN
16     96.0  130.567117        NaN         NaN        NaN
17    102.0  143.257645        NaN         NaN        NaN
