    FCST_HR      30/00Z      01/00Z      02/00Z     03/00Z        mean
0       0.0   32.388689   89.446722   11.488082  25.951671   39.818791
1       6.0    5.272997  116.825692   32.588646  27.613219   45.575138
2      30.0   66.278198   47.859071   58.282272        NaN   57.473180
3      36.0   58.846626   29.105926   63.476980        NaN   50.476511
4      42.0   59.881875   29.912914   89.107927        NaN   59.634239
5      48.0   84.771322   75.907189  119.890612        NaN   93.523041
6      54.0  100.061377   87.196033         NaN        NaN   93.628705
7      60.0   84.558157  124.335403         NaN        NaN  104.446780
8      66.0   70.309185  162.485790         NaN        NaN  116.397488
9      72.0   89.107927  164.260627         NaN        NaN  126.684277
10     78.0   96.588833         NaN         NaN        NaN   96.588833
