    FCST_HR     09/00Z     10/00Z     11/00Z       mean
0       0.0  14.596551  15.167878  12.009052  13.924494
1       6.0  19.453821  25.524958  17.315761  20.764847
2      12.0  23.672596  14.339664  45.501469  27.837910
3      18.0  16.369400  24.029949        NaN  20.199674
4      24.0  25.237565  32.486291        NaN  28.861928
5      30.0  25.524958  17.315761        NaN  21.420359
6      36.0  49.559165  45.501469        NaN  47.530317
7      42.0  96.135784        NaN        NaN  96.135784
8      48.0  73.176983        NaN        NaN  73.176983
9      54.0  36.795981        NaN        NaN  36.795981
10     60.0  52.883420        NaN        NaN  52.883420
